,university_id,name,state_code,department_id,discipline,faculty_id,course_id,survey_year,examination_result_id,infra_count,infrastructure,percentage,pass_percentage,combined,user_defined_score
36171,413,"Mohan Lal Sukhadia University, Uaipur",8,2005605.0,Computer Science,70498.0,2122467,2019,1956569,5,62.5,87.5,,75.0,
35186,383,"Punjabi University, Patiala",3,2101766.0,Computer Science,74257.0,2242562,2019,2067600,7,87.5,83.5,,85.5,
42169,461,"M.G.R. Educational and Research Institute, Chennai",33,1979654.0,Computer Science,70078.0,2093442,2019,1928441,8,100.0,82.75,,91.375,
5940,196,"University of Kashmir, Srinagar",1,2090768.0,Computer Science,73478.0,2225448,2019,2051844,6,75.0,82.75,,78.875,
5944,196,"University of Kashmir, Srinagar",1,2090768.0,Computer Science,73478.0,2225447,2019,2051786,6,75.0,82.75,,78.875,
28586,217,"Christ University, Bangalore",29,2048962.0,Computer Science,71574.0,2171345,2019,2003283,8,100.0,81.25,,90.625,
38028,262,"Mahatma Gandhi University, Kottayam",32,,Computer Science,73630.0,2228492,2019,2054838,5,62.5,81.0,,71.75,
34668,555,"Graphic Era University, Dehradun",5,2093402.0,Computer Science,73666.0,2229381,2019,2055692,7,87.5,80.75,,84.125,
32344,183,"Himachal Pradesh University , Shimla",2,2094125.0,Computer Science,73750.0,2231151,2019,2057238,7,87.5,80.25,,83.875,
32348,183,"Himachal Pradesh University , Shimla",2,2094125.0,Computer Science,73750.0,2231153,2019,2057227,7,87.5,80.25,,83.875,
32378,183,"Himachal Pradesh University , Shimla",2,2094125.0,Computer Science,73750.0,2231152,2019,2057143,7,87.5,80.25,,83.875,
20958,404,"Jyoti Vidyapeeth Women's University, Jaipur",8,,Computer Science,69305.0,2029164,2019,1864920,8,100.0,80.0,,90.0,
31716,453,"Gandhigram Rural Institute, Dindigul",33,,Computer Science,70984.0,2150741,2019,1983817,8,100.0,80.0,,90.0,
10233,325,"Shivaji University, Kolhapur",27,2104356.0,Computer Science,71433.0,2246721,2019,2004712,8,100.0,79.0,,89.5,
10252,325,"Shivaji University, Kolhapur",27,2104356.0,Computer Science,71433.0,2246645,2019,2004610,8,100.0,79.0,,89.5,
781,107,Jamia Hamdard,7,2107171.0,Computer Science,74642.0,2251097,2019,2074737,8,100.0,78.75,,89.375,
11490,470,"Periyar University, Salem",33,1959672.0,Computer Science,69832.0,2220453,2019,2047468,0,0.0,78.75,,39.375,
11494,470,"Periyar University, Salem",33,1959672.0,Computer Science,69832.0,2071470,2019,1906614,0,0.0,78.75,,39.375,
11507,470,"Periyar University, Salem",33,1959672.0,Computer Science,69832.0,2071471,2019,1906662,0,0.0,78.75,,39.375,
11617,470,"Periyar University, Salem",33,1959672.0,Computer Science,69832.0,2220432,2019,2047471,0,0.0,78.75,,39.375,
19970,232,"Kuvempu University, Shankaraghatta, Shimoga",29,,Computer Science,73113.0,2213225,2019,2042125,8,100.0,78.5,,89.25,
11148,251,"UNIVERSITY OF CALICUT, MALAPPURAM",32,2103396.0,Computer Science,74397.0,2246884,2019,2070012,8,100.0,78.25,,89.125,
27973,464,"Manonmaniam Sundaranar University, Tirunelveli",33,1974405.0,Computer Science,,2219018,2019,1922383,7,87.5,78.25,,82.875,
27496,576,"Kalyani University, Kalyani",19,,Computer Science,70788.0,2139710,2019,1973282,6,75.0,78.0,,76.5,
328,34,"Sri Padmavathi Mahila Visva Vidyalayam, Tirupathi",28,,Computer Science,70648.0,2132885,2019,1966731,8,100.0,77.75,,88.875,
18966,458,Kalasalingam Academy of Research and Education,33,2050649.0,Computer Science,71655.0,2173633,2019,2005359,8,100.0,77.75,,88.875,
5465,158,"Central University of Haryana, Mahendergarh",6,2103511.0,Computer Science,74415.0,2245317,2019,2070189,7,87.5,77.5,,82.5,
7033,474,"Sathyabama Institute of Science & Technology, Chennai",33,2012769.0,Computer Science,70615.0,2130036,2019,1963934,8,100.0,77.25,,88.625,
26076,23,"Maulana Azad National Urdu University, Hyderabad",36,2087317.0,Computer Science,73276.0,2220802,2019,2047718,8,100.0,77.25,,88.625,
18967,458,Kalasalingam Academy of Research and Education,33,2050649.0,Computer Science,71655.0,2173633,2019,2005359,8,100.0,76.9,,88.45,
9960,328,"Swami Ramanand Teerth Marathwada University, Nanded",27,,Computer Science,70097.0,2093873,2019,1928872,8,100.0,76.5,,88.25,
9993,328,"Swami Ramanand Teerth Marathwada University, Nanded",27,,Computer Science,70097.0,2093876,2019,1928833,8,100.0,76.5,,88.25,
36096,121,"Goa University, Goa",30,2076783.0,Computer Science,71686.0,2207316,2019,2005974,8,100.0,76.5,,88.25,
36107,121,"Goa University, Goa",30,2076783.0,Computer Science,71686.0,2207329,2019,2006051,8,100.0,76.5,,88.25,
18968,458,Kalasalingam Academy of Research and Education,33,2050649.0,Computer Science,71655.0,2173633,2019,2005359,8,100.0,76.4,,88.2,
10805,260,"University of Kerala, Thiruvananthapuram",32,,Computer Science,,2228255,2019,2054585,8,100.0,76.0,,88.0,
10894,260,"University of Kerala, Thiruvananthapuram",32,2092588.0,Computer Science,73614.0,2228136,2019,2054466,8,100.0,76.0,,88.0,
10948,260,"University of Kerala, Thiruvananthapuram",32,,Computer Science,,2228247,2019,2054577,8,100.0,76.0,,88.0,
18969,458,Kalasalingam Academy of Research and Education,33,2050649.0,Computer Science,71655.0,2173633,2019,2005359,8,100.0,75.9,,87.95,
23126,93,"Pt. Ravishankar Shukla University, Raipur",22,,Computer Science,69737.0,2057739,2019,1893276,6,75.0,75.5,,75.25,
23186,93,"Pt. Ravishankar Shukla University, Raipur",22,,Computer Science,69737.0,2057738,2019,1893275,6,75.0,75.5,,75.25,
42582,62,"Central University of South Bihar, Patna",10,2072665.0,Computer Science,72672.0,2202080,2019,2031736,5,62.5,75.5,,69.0,
21884,392,"Central University of Rajasthan, Jaipur",8,2083538.0,Computer Science,73162.0,2215961,2019,2043571,8,100.0,75.25,,87.625,
139,50,"Assam University, Silchar",18,2103642.0,Computer Science,74427.0,2245457,2019,2070332,8,100.0,73.0,,86.5,
224,50,"Assam University, Silchar",18,2103642.0,Computer Science,74427.0,2245458,2019,2070333,8,100.0,73.0,,86.5,
13733,219,"Gulbarga University, Gulbarga",29,2017439.0,Computer Science,70684.0,2135155,2019,1968962,8,100.0,72.75,,86.375,
18970,458,Kalasalingam Academy of Research and Education,33,2050649.0,Computer Science,71655.0,2173633,2019,2005359,8,100.0,72.3,,86.15,
18971,458,Kalasalingam Academy of Research and Education,33,2050649.0,Computer Science,71655.0,2173633,2019,2005359,8,100.0,72.3,,86.15,
30494,588,"Vidya Sagar University, Midnapore",19,2024038.0,Computer Science,70323.0,2143808,2019,1944235,8,100.0,72.25,,86.125,
30504,588,"Vidya Sagar University, Midnapore",19,2024038.0,Computer Science,70323.0,2143776,2019,1944203,8,100.0,72.25,,86.125,
35931,502,"Bundelkhand University,  Jhansi",9,2058064.0,Computer Science,72018.0,2182892,2019,2014414,8,100.0,72.25,,86.125,
35974,502,"Bundelkhand University,  Jhansi",9,2058085.0,Computer Science,72023.0,2182938,2019,2014461,8,100.0,72.25,,86.125,
18972,458,Kalasalingam Academy of Research and Education,33,2050649.0,Computer Science,71655.0,2173633,2019,2005359,8,100.0,71.3,,85.65,
1540,33,"Sri Krishnadevaraya University, Anantapur",28,2098766.0,Computer Science,71065.0,2238741,2019,1986343,8,100.0,71.25,,85.625,
1573,33,"Sri Krishnadevaraya University, Anantapur",28,2098759.0,Computer Science,71064.0,2238738,2019,1986375,8,100.0,71.25,,85.625,
1578,33,"Sri Krishnadevaraya University, Anantapur",28,2098766.0,Computer Science,71065.0,2238708,2019,1986320,8,100.0,71.25,,85.625,
21590,136,"Gujarat University, Ahmedabad",24,2095051.0,Computer Science,69345.0,2232913,2019,1867468,7,87.5,71.25,,79.375,
24047,589,"Visva Bharati, Shantiniketan",19,2056589.0,Computer Science,71925.0,2180777,2019,2012401,7,87.5,70.5,,79.0,
21269,466,"Mother Teresa Women's University, Kodaikanal",33,1990422.0,Computer Science,,2211320,2019,1939876,8,100.0,70.0,,85.0,
41166,408,"Maharishi Dayanand Saraswati University, Ajmer",8,2087792.0,Computer Science,73328.0,2221297,2019,2048209,7,87.5,70.0,,78.75,
41184,408,"Maharishi Dayanand Saraswati University, Ajmer",8,2087792.0,Computer Science,73328.0,2221300,2019,2048212,7,87.5,70.0,,78.75,
22323,449,"Central University of Tamil Nadu, Tiruvarur",33,,Computer Science,71306.0,2165550,2019,1997984,7,87.5,69.5,,78.5,
22361,449,"Central University of Tamil Nadu, Tiruvarur",33,,Computer Science,71306.0,2165551,2019,1997985,7,87.5,69.5,,78.5,
33631,388,"Amity University Rajasthan, Jaipur",8,2029738.0,Computer Science,70956.0,2211072,2019,1982936,7,87.5,69.25,,78.375,
42674,91,"MATS University, Raipur",22,2071437.0,Computer Science,72587.0,2200218,2019,2030115,8,100.0,69.0,,84.5,
371,252,"Central Univeristy of Kerala, Kasaragod",32,2075386.0,Computer Science,72868.0,2205351,2019,2034799,7,87.5,69.0,,78.25,
35506,668,UKA TARSADIA UNIVERSITY,24,,Computer Science,69954.0,2079595,2019,1914708,7,87.5,69.0,,78.25,
29941,124,Maharaja Krishnakumarsinhji Bhavnagar University,24,1930652.0,Computer Science,69166.0,2042468,2019,1824673,6,75.0,69.0,,72.0,
9579,484,"Tamil Univesity, Thanjavur",33,1961467.0,Computer Science,69872.0,2208693,2019,1929607,7,87.5,68.75,,78.125,
2992,492,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM",33,,Computer Science,72343.0,2193783,2019,2024047,7,87.5,68.25,,77.875,
2995,492,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM",33,,Computer Science,72343.0,2193791,2019,2024055,7,87.5,68.25,,77.875,
3076,492,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM",33,2066233.0,Computer Science,72343.0,2193754,2019,2024083,7,87.5,68.25,,77.875,
3137,492,"VINAYAKA MISSIONs RESEARCH FOUNDATION, SALEM",33,2066233.0,Computer Science,72343.0,2193755,2019,2024084,7,87.5,68.25,,77.875,
24616,469,"Periyar Maniammal Institute of Science & Technoloyg, Thanjavur",33,2025513.0,Computer Science,70885.0,2145325,2019,1978700,8,100.0,66.5,,83.25,
20959,404,"Jyoti Vidyapeeth Women's University, Jaipur",8,,Computer Science,69305.0,2029164,2019,1864920,8,100.0,65.75,,82.875,
14504,495,"Tripura University, Agartala",16,,Computer Science,70046.0,2091674,2019,1926656,7,87.5,65.75,,76.625,
33038,84,"Dr. C. V. Raman University, Kota Bilaspur",22,2098443.0,Computer Science,74102.0,2238142,2019,2063406,6,75.0,65.25,,70.125,
33069,84,"Dr. C. V. Raman University, Kota Bilaspur",22,2098447.0,Computer Science,74103.0,2238179,2019,2063545,6,75.0,65.25,,70.125,
33092,84,"Dr. C. V. Raman University, Kota Bilaspur",22,,Computer Science,74102.0,2238148,2019,2063547,6,75.0,65.25,,70.125,
30774,550,"Veer Bahadur Singh Purvanchal University, Jaunpur",9,2043453.0,Computer Science,71275.0,2164895,2019,1997342,8,100.0,63.5,,81.75,
39740,514,"Gautam Buddha University, Greater Noida, Gautam Budh Nagar",9,2102042.0,Computer Science,74306.0,2243231,2019,2068282,7,87.5,63.5,,75.5,
27848,655,PEOPLES UNIVERSITY,23,2097671.0,Computer Science,74039.0,2237040,2019,2062341,6,75.0,60.75000000000001,,67.875,
41546,268,"Awadesh Pratap Singh University, Rewa",23,,Computer Science,74382.0,2244417,2019,2069467,7,87.5,59.25,,73.375,
41568,268,"Awadesh Pratap Singh University, Rewa",23,,Computer Science,74382.0,2244405,2019,2069455,7,87.5,59.25,,73.375,
39808,204,"Central University of Jharkhand, Ranchi",20,2086578.0,Computer Science,73237.0,2219604,2019,2046594,8,100.0,58.5,,79.25,
39817,204,"Central University of Jharkhand, Ranchi",20,2086578.0,Computer Science,73237.0,2219603,2019,2046585,8,100.0,58.5,,79.25,
22194,656,RABINDRANATH TAGORE UNIVERSITY,23,,Computer Science,74766.0,2254857,2019,2077230,7,87.5,58.25,,72.875,
24384,10,"Dravidian University, Kuppam, Chittoor District",28,2017276.0,Computer Science,70678.0,2134945,2019,1968766,5,62.5,55.75,,59.125,
24409,10,"Dravidian University, Kuppam, Chittoor District",28,2017276.0,Computer Science,70678.0,2134948,2019,1968769,5,62.5,55.75,,59.125,
37960,256,"Kannur University, Kannur",32,2090968.0,Computer Science,73510.0,2225875,2019,2052326,8,100.0,54.75,,77.375,
37975,256,"Kannur University, Kannur",32,2090968.0,Computer Science,73510.0,2225874,2019,2052269,8,100.0,54.75,,77.375,
37977,256,"Kannur University, Kannur",32,2090968.0,Computer Science,73510.0,2225871,2019,2052266,8,100.0,54.75,,77.375,
26904,426,"Sir Padampat Singhania University, Udaipur",8,,Computer Science,72445.0,2197570,2019,2027444,8,100.0,52.25,,76.125,
31044,561,"The ICFAI University, Dehradun",5,2091638.0,Computer Science,73564.0,2226775,2019,2053143,7,87.5,44.5,,66.0,
38610,740,ARUNACHAL UNIVERSITY OF STUDIES,12,,Computer Science,74146.0,2239418,2019,2064633,6,75.0,43.0,,59.0,
29942,124,Maharaja Krishnakumarsinhji Bhavnagar University,24,1930652.0,Computer Science,69166.0,2042468,2019,1824673,6,75.0,41.25,,58.125,
42170,461,"M.G.R. Educational and Research Institute, Chennai",33,1979654.0,Computer Science,70078.0,2093442,2019,1928441,8,100.0,1.0,,50.5,
42171,461,"M.G.R. Educational and Research Institute, Chennai",33,1979654.0,Computer Science,70078.0,2093442,2019,1928441,8,100.0,1.0,,50.5,
42172,461,"M.G.R. Educational and Research Institute, Chennai",33,1979654.0,Computer Science,70078.0,2093442,2019,1928441,8,100.0,1.0,,50.5,
42173,461,"M.G.R. Educational and Research Institute, Chennai",33,1979654.0,Computer Science,70078.0,2093442,2019,1928441,8,100.0,1.0,,50.5,
43980,847,RNB GLOBAL UNIVERSITY,8,,Computer Science,69404.0,2037758,2019,1873527,7,87.5,1.0,,44.25,
43981,847,RNB GLOBAL UNIVERSITY,8,,Computer Science,69404.0,2037758,2019,1873527,7,87.5,1.0,,44.25,
